,author
1888,Sophia de Mello Breyner Andersen
1889,Shaun Tan
1890,adapt. Fabrice Colin 
1891,texto e fot. José Eduardo Agualusa
1892,texto de Xavier Queipo 
1893,Nuno Casimiro 
1894,A. G. Roemmers 
1895,Ana Meireles 
1896,texto Luísa Ducla Soares 
1897,escreveu José Jorge Letria 
1898,Sara Monteiro 
1899,"José Jorge Letria, André Letria"
1900,Charles Cros 
1901,Marie-José Bardinat... [et al.] 
1902,"Teresa Paiva, Helena Rebelo Pinto "
1903,reconta Luísa Ducla Soares 
1904,Raul Malaquias Marques 
1905,texto e ilustrações André François 
1906,Angie Sage
1907,Geronimo Stilton 
1908,Stan Smith 
1909,Fernando Nobre 
1910,Alexandre Honrado 
1911,texto Eugénio Roda 
1912,escrito e il. por Mrs. Crevan Fox
1913,Charles Perrault 
1914,Emma Thomson 
1915,"António Reis, Ana Maria Magalhães e Isabel Alçada"
1916,texto Emily Hawkins 
1917,il. Roberto Innocenti 
1918,Inácio Pignatelli 
1919,Elsa Pestana Magalhães 
1920,texto e il. Mónica Baldaque
1921,Luísa Costa Cabral 
1922,Eugénio Roda 
1923,Inês Vinagre 
1924,Henry Gilbert
1925,de L. Frank Baum
1926,Margaret Wild 
1927,Mariana Vaz Serra 
1928,uma história de António Mota 
1929,Vanina Starkoff 
1930,António Torrado... [et al.] 
1931,contos de Eugénia Martins 
1932,texto Luís Filipe Cristóvão 
1933,texto de Rosário Alçada Araújo 
1934,texto Anna Castagnoli 
1935,texto e il. Carlos J. Campos
1936,Helena Rainha Coelho 
1937,José Carlos de Vasconcelos 
1938,poemas José Jorge Letria  
1939,José Luís Borga 
1940,Mónica Baldaque
1941,Manuela Nogueira 
1942,Renata Gostoli . Um duelo na biblioteca
1943,Gwyneth Rees 
1944,escreveu Teresa Guimarães 
1945,Stephen Rabley 
1946,Jacqueline Wilson 
1947,"Margarida Fonseca Santos, Maria Teresa Maia Gonzalez "
1948,por Sir Fox de Fox 
1949,Kate Bloom e Emma Pack
1950,by Jeff Kinney
1951,Miguel Horta
1952,texto de José Vaz 
1953,Fátima Éffe 
1954,Louis Sachar
1955,Jacob [e] Wilhelm Grimm 
1956,Luísa Fortes da Cunha
1957,Raul Malaquias Marques
1958,Armindo Reis
1959,Maria Almira Soares 
1960,Carlos Paixão 
1961,Steve Smallman 
1962,escrito por Irene Trimble 
1963,Hy Conrad 
1964,texto Inácio Pignatelli 
1965,Vera Roquete 
1966,Rita Taborda Duarte & Luís Henriques
1967,Ana Cristina Leonardo... [et al.] 
1968,Benedita Stingl 
1969,Susana Teles Margarido 
1970,Thea Feldman 
1971,Elisabete Vieira Canha de Andrade 
1972,selec. e trad. Wang Suoying e Ana Cristina Alves 
1973,textos Alice Rios 
1974,Daniel Defoe
1975,Inês de Barros Baptista 
1976,textos de Margarida Fonseca Santos 
1977,Jim Sukach 
1978,Laura Owen e Korky Paul  
1979,H. E. Marshall
1980,Jeremy Strong 
1981,"Antonio Amago, Nuria Rodríguez"
1982,Carlos Couceiro 
1983,Ana Maria Magalhães... [et al.] 
1984,uma história de Alice Cardoso 
1985,"Carla Machado, Miguel Gonçalves"
1986,texto Menena Cottin 
1987,Vera Morgado 
1988,Carmen Gil e Elena Odriozola 
1989,texto de Joan e Albert Vinyoli 
1990,texto de Raquel Saiz 
1991,"Antonio Iturbe, Alex Omist "
1992,"Irmãos Grimm, Lisbeth Zwerger"
1993,texto de Manfred Mai 
1994,José Jorge Letria + André Letria
1995,adapt. Arianna Candell 
1996,Teresa Lobato de Faria 
1997,Rui Almeida Paiva
1998,Anne Collins 
1999,Paul Kieve 
2000,Ângelo da Silva 
2001,ed. Maria Jorge Vilar de Figueiredo e Teresa Belo 
2002,adapt e il. de Elza Mesquita e Ana Pereira 
2003,texto e il. Sérgio Godinho
2004,texto de Carlos Rebelo  
2005,Anik Le Ray 
2006,adapt. em prosa do poema épico de frei José de Santa Rita Durão por João de Barros 
2007,org. Luís Menezes... [et al.]
2008,"Steve Smallman, Joelle Dreidemy "
2009,adapt. livre da obra de Jonathan Swift por João de Barros 
2010,recolha e adapt. Tiago Salgueiro 
2011,Gail Herman 
2012,org. e abertura José Viale Moutinho 
2013,Tiago Rebelo 
2014,texto e il. de Raffaello Bergonse
2015,texto Zacarias Nascimento 
2016,Maria José Mestre 
2017,Marta Elias 
2018,Natalie Babbitt 
2019,Andrew Clements
2020,adapt. João de Barros 
2021,João Paulo Seara Cardoso 
2022,Maria Gripe 
2023,"António Almeida, Orlando Strecht-Ribeiro "
2024,Rui Grácio 
2025,Fernando Branco Marado e Crianças 
2026,texto de António Manuel Couto Viana 
2027,texto de Robin Tzannes 
2028,texto de Hugo Santos 
2029,Tina Nolan 
2030,escreveu Amadeu Baptista 
2031,Patrícia Reis 
2032,Odile Weulersse 
2033,de Oscar Wilde 
2034,Paula Alexandra Carreira 
2035,Care Santos 
2036,Michael Cox 
2037,"Lorenzo Silva, Jordi Sàbat "
2038,de Rosa Lobato Faria 
2039,texto Bernardo Pinto de Almeida 
2040,Maria José Meireles 
2041,Jerome K. Jerome 
2042,"Helena Oliveira, Inês Moura Paes"
2043,textos de José Viale Moutinho 
2044,texto Alexandre Honrado 
2045,Hans C. Andersen 
2046,Marília Miranda Lopes 
2047,"selec. adapt. e trad. Wang Suoying, Ana Cristina Alves "
2048,"sel., introd. e notas José António Gomes "
2049,Bill Watterson 
2050,Teresa Guedes 
2051,Juan Ramón Jiménez 
2052,Ana Maria Machado 
2053,Clem Martini 
2054,Daniel Pennac 
2055,Texto de Álvaro de Magalhães 
2056,"Esopo, La Fontaine, e outros "
2057,Maria Teresa Sena de Vasconcelos 
2058,Violeta Figueiredo 
2059,versos miudinhos de António Torrado 
2060,"Fátima Éffe, Zé-Luís "
2061,trad. Peter Taylor
2062,texto de Hélène Suzzoni 
2063,textos sel. e contados por Thérèse de Cherisey e Vanessa Henriette 
2064,Laura Garnham 
2065,Knife e Packer 
2066,Pedro Freire Costa 
2067,"Eugénio Roda, Gémeo Luís"
2068,António Antunes Carvalho 
2069,Rigoberta Menchú com Dante Liano 
2070,Begoña Oro 
2071,Manuel Vázquez Montalbán 
2072,Avelina Vieira 
2073,"Jorge Listopad, Manuela Bacelar"
2074,texto e des. de Albert Uderzo
2075,Russel Stannard 
2076,texto e il. Katharina Grossmann-Hensel 
2077,"Manuel Jorge Marmelo, Maria Miguel Marmelo "
2078,texto de Luísa Ducla Soares 
2079,textos Alejandra Ramírez Zarzuela 
2080, M. Conceição Galveia Ferreira 
2081,Carlos Correia 
2082,Christel Desmoinaux 
2083,Jon Blake 
2084,Henrique Madeira
2085,argumento Pierre Veys 
2086,João César das Neves... [et al.] 
2087,texto de Margarida Castel-Branco 
2088,compilados por M. Margarida Pereira-Müller 
2089,colectânea org. por Elisa Maria Lopes da Costa
2090,Fernando Vale 
2091,"João Paulo Cotrim, Tiago Manuel"
2092,Megan McDonald 
2093,Didier Lévy 
2094,"Aldous Huxley, Beatrice Alemagna "
2095,Albert Jané 
2096,texto Rosário Alçada Araújo 
2097,Sergio Bambarén 
2098,texto Josephine Poole 
2099,Phyllis Reynolds Naylor
2100,Elizabeth Goudge
2101,texto Hélia Correia 
2102,Teresa Rita Lopes 
2103,"Concha López Nárvaez, Carmelo Salmerón "
2104,um conto de Nuno Júdice 
2105,Cathy East Dubowski
2106,Maria Filomena Mónica 
2107,Susanna Tamaro 
2108,P.B. Kerr 
2109,il. Aida Xavier
2110,Silvana Gandolfi
2111,texto e il. Montse Gisbert 
2112,Joanathan Swift 
2113,"João Paulo Cotrim, Miguel Rocha"
2114,"João Paulo Cotrim, Maria João Worm"
2115,texto Fabrice Lelarge 
2116,Victor Santos 
2117,Guido Visconti 
2118,"António Avelar de Pinho, Pedro de Freitas Branco "
2119,"Debra Doyle, James D. Macdonald"
2120,Horácio Quiroga
2121,Maria da Conceição Galveia Ferreira 
2122,um conto de Inês Pedrosa 
2123,uma antologia de Manuela Espirito Santo 
2124,texto de Manuel António Pina 
2125,Elke Heidenreich
2126,adapt. Arnica Esterl 
2127,Bernardo Pinto de Almeida 
2128,A. do Carmo Reis 
2129,um conto de Bernardo Pinto de Almeida 
2130,texto Nicola Cinqueti 
2131,Detlev Patz 
2132,Beatrice Masini 
2133,il. Pier Giorgio Citterio 
2134,William Kotzwinkle 
2135,Abner Shimony 
2136,Ana de Castro Osório 
2137,Irmãos Grimm
2138,um conto de Ana Maria Magalhães e Isabel Alçada 
2139,histórias e versos de José Fanha 
2140,um conto de Vasco Graça Moura 
2141,Natália Bebiano 
2142,Philippe Delerm 
2143,Sylvia Plath 
2144,orient. téc. Armando M. O. Vieira
2145,texto de Helder Moura Pereira 
2146,Jack Challoner 
2147,George Lucas
2148,Anna Sewell 
2149,Grégoire Solotareff 
2150,il. Shirley Chan
2151,il. Alexander Koshkin
2152,il. Michael Fiodorov 
2153,Alfred Hitchcock 
2154,Maria Rosa Colaço
2155,James Bentley 
