,author
299,Gonçalo Cadilhe
300,José Xavier 
301,Isabel Allende 
302,adapt. de Claire Ubac 
303,Raul Brandão 
304,Mia Couto 
305,Ernest Hemingway 
306,Trindade Coelho 
307,Dinis Machado
308,Fernando Pessoa 
309,José Eduardo Agualusa
310,Doris Lessing 
311,Ondjaki 
312,José Cardoso Pires 
313,Patrick Modiano 
314,Rui Miguel Tovar
315,Ana Maria Magalhães e Isabel Alçada
316,Alexandre Herculano
317,de Rider Haggard 
318,William Golding 
319,Gayle Forman
320,Jane Austen 
321,Tom Michell 
322,Thomas Mann 
323,Hélia Correia 
324,Mia Couto
325,arg. e des. José Carlos Fernandes
326,Reinhard Kleist 
327,Mário Zambujal
328,Tove Jansson 
329,Tiago Patrício
330,Manuela Barros Ferreira 
331,Charles Kingsley 
332,Raquel Ramos
333,Cristina Carvalho 
334,Jandy Nelson 
335,Katherine Applegate 
336,Tolstoi 
337,Ondjaki
338,Gil Vicente 
339,Kate DiCamillo 
340,Jonas Jonasson 
341,texto Mário de Carvalho 
342,Carlo Collodi e Roberto Innocenti 
343,Marcelo D' Salete
344,André Diniz 
345,adapt. Vanessa Rubio-Barreau 
346,André Oliveira 
347,Agustina Bessa-Luís
348,Catarina Gomes
349,Jack London 
350,Marcus Zusak 
351,Lucy M. Montgomery 
352,texto Ana Pessoa 
353,Miguel Esteves Cardoso
354,José Carlos Fernandes
355,Luísa Costa Gomes
356,Rita Taborda Duarte 
357,Pierdomenico Baccalario 
358,Camilo Castelo Branco
359,Stephen Hawking 
360,Carla Maia de Almeida 
361,Emílio Salgari 
362,Alan Snow 
363,Jesús Carrasco 
364,Agatha Christie 
365,João Amaral
366,Sam Savage 
367,Sérgio Rodrigues 
368,Erico Veríssimo 
369,Andréa del Fuego
370,Gil Vicente
371,John Vaillant 
372,Solomon Northup 
373,Gao Xingjian 
374,Mário de Carvalho
375,"John Green, Maureen Johnson, Lauren Myracle"
376,Augusto José Monteiro 
377,Sid Jacobson e Ernie Colón 
378,Malala Yousafzai com Patricia McCormick 
379,Rosa Lobato de Faria 
380,Michel Tournier 
381,Ana Saldanha
382,Jean Giono 
383,Mário Cláudio 
384,John Green
385,Veronica Roth
386,Tim Bowley 
387,Michael Morpurgo 
388,Andy Mulligan 
389,"Ana Maria Magalhães, Isabel Alçada"
390,Sofia Martinez 
391,Manuel Alegre
392,José Luís Peixoto 
393,Ana Folhadela 
394,Patrick Süskind 
395,Alan Lightman 
396,Kathryn Erskine 
397,Tom Bullough 
398,Chris Priestley 
399,António Torrado
400,Dava Sobel 
401,David Gilmour 
402,Emma Donoghue 
403,Ian Beck 
404,James Bradley 
405,Vitorino Nemésio
406,Cesário Verde 
407,Francesco D'Adamo 
408,Ben Jonson 
409,Hermann Hesse 
410,Bruce Chatwin 
411,Frances Hardinge 
412,Rider Haggard 
413,Yann Martel 
414,Manuel da Fonseca
415,Francisco Duarte Mangas... [et al.]
416,John Grogan 
417,Vergílio Ferreira
418,de Trindade Coelho
419,G. K. Chesterton
420,Raul Brandão
421,Machado de Assis
422,Emilio Salgari
423,"Rudyard Kipling "" seguido de"" através das ondas"
424,António Gedeão
425,Lewis Carrol 
426,Henry DeVere Stacpoole
427,Frances Hodgson Burnett 
428,José Jorge Letria
429,Edgar Allan Poe 
430,Sophia de Mello Breyner Andresen
431,Leonoreta Leitão 
432,Filipe Faria
433,John Connolly 
434,Mark Twain
435,Peter Ward 
436,Eça de Queirós e Ramalho Ortigão
